Product category,Product subcategory,Product rating,Transaction number,Transaction date,Customer ID,Seller ID,Base Price,Discounts percentage,Service charge percentage,Product ID,Total amount per unit,Age,State code,Income annual,Occupation level,Income annual,Product score 1,Product score 2
C2,SC2,3,667176,10-06-2022,251625,928785,34.79,0.15,1.28,104,35.183127,,,,,,58.185,2.25
C4,SC3,4,173365,13-03-2022,911835,435856,31.75,0.84,1.49,254,31.956375,47,18,,1,500559,55.625,-0.2
C3,SC1,4,409039,05-05-2022,607738,495456,41.53,0.37,1.03,150,41.804098,,,,,,70.295,2.15
C4,SC1,2,866987,06-03-2022,491196,554631,38.89,1.68,2.14,218,39.068894,,,,,,62.335,-6.4
C1,SC2,4,639947,28-03-2022,876029,194273,21.26,0.66,1.04,40,21.340788,,,,,,39.89,0.7
C3,SC1,5,677062,08-07-2022,550778,800480,40.21,1.46,1.38,148,40.177832,,,,,,70.315,-2.3
C1,SC2,2,599747,13-07-2022,432669,569028,55.85,1.7,1.28,40,55.61543,,,,,,87.775,-6.5
C2,SC2,3,807515,28-03-2022,348555,642533,18.61,0.51,1.05,99,18.710494,,,,,,33.915,0.45
C1,SC1,3,415411,15-04-2022,312218,113357,20.44,0.54,1.3,24,20.595344,,,,,,36.66,0.3
C1,SC1,2,224877,17-08-2022,875141,435856,38.29,0.8,1.32,16,38.489108,,,,,,61.435,-2
C2,SC1,8,400294,12-08-2022,299656,709568,61.29,0.73,1.13,82,61.53516,,,,,,107.935,4.35
C2,SC1,4,289653,21-06-2022,716655,800480,32.09,0.44,1.25,84,32.349929,56,3,,3,527656,56.135,1.8
C1,SC2,3,874338,03-07-2022,526252,928785,24.46,0.89,1.12,37,24.516258,,,,,,42.69,-1.45
C3,SC3,5,684391,05-05-2022,428436,593860,28.67,0.26,1.14,195,28.922296,,,,,,53.005,3.7
C4,SC1,1,950618,21-08-2022,681109,672428,23.71,1.4,1.35,217,23.698145,,,,,,37.565,-6
C2,SC1,6,767141,11-06-2022,744386,672428,25.9,0.96,1.63,77,26.07353,,,,,,50.85,1.2
C2,SC2,3,103491,02-06-2022,386416,800480,27.57,0.21,2.17,99,28.110372,,,,,,47.355,1.95
C1,SC1,5,895428,27-08-2022,499541,730238,70.31,0.31,1.46,10,71.118565,,,,,,115.465,3.45
C2,SC2,3,566663,06-07-2022,172693,554631,20.31,0.34,2.08,105,20.663394,,,,,,36.465,1.3
C1,SC1,1,253529,23-08-2022,445218,435856,45.15,1.44,1.87,16,45.344145,51,16,,2,888715,69.725,-6.2
C3,SC1,2,457846,27-04-2022,391976,647438,77.69,0.11,1.1,148,78.459131,,,,,,120.535,1.45
C1,SC2,7,520919,24-03-2022,614921,539784,43.48,0.35,1.13,44,43.819144,,,,,,79.22,5.25
C4,SC1,3,194414,12-08-2022,345625,539784,22.02,0.93,1.04,214,22.044222,,,,,,39.03,-1.65
C1,SC1,2,345021,29-06-2022,732896,569028,40.8,1.6,1.42,11,40.72656,,,,,,65.2,-6
C1,SC1,7,400356,08-05-2022,370588,194273,59.47,1.1,1.05,14,59.440265,24,22,,2,833500,103.205,1.5
C1,SC2,2,806543,28-06-2022,371045,255774,28.81,1.54,1.48,40,28.792714,,,,,,47.215,-5.7
C1,SC3,7,523773,17-05-2022,918693,672428,24.45,1.3,1.02,67,24.38154,,,,,,50.675,0.5
C4,SC2,2,185026,10-04-2022,512597,113357,18.29,0.28,1.24,231,18.465584,,,,,,31.435,0.6
C2,SC1,7,701364,26-07-2022,191883,113357,22.64,1.77,1.27,81,22.5268,,,,,,47.96,-1.85
C1,SC1,6,981591,25-07-2022,611911,373981,46.93,0.51,1.57,24,47.427458,,,,,,82.395,3.45
C2,SC1,2,513580,05-08-2022,373848,569028,76.51,0.59,1.74,81,77.389865,,,,,,118.765,-0.95
C1,SC3,5,606352,17-08-2022,555632,554631,58.19,0.46,1.15,59,58.591511,57,26,,1,710230,97.285,2.7
C1,SC2,7,393558,27-06-2022,642464,539784,16.2,1.58,1.15,38,16.13034,47,8,,1,744909,38.3,-0.9
C4,SC2,3,765523,04-03-2022,908498,800480,58.88,0.02,1.49,220,59.745536,,,,,,94.32,2.9
C1,SC2,3,849859,22-08-2022,943068,255774,30.45,0.47,1.46,38,30.751455,,,,,,51.675,0.65
C4,SC3,3,768824,21-07-2022,821492,495456,22.64,0.62,1.3,249,22.793952,,,,,,39.96,-0.1
C4,SC1,5,399051,09-08-2022,745446,928785,91.93,0.21,1.26,200,92.895265,,,,,,147.895,3.95
C3,SC3,1,308584,16-05-2022,769849,647438,52.05,1.18,1.12,183,52.01877,,,,,,80.075,-4.9
C1,SC1,2,889742,23-07-2022,634536,539784,27.29,0.68,1.15,14,27.418263,,,,,,44.935,-1.4
C1,SC3,2,768901,29-08-2022,107985,220597,25.86,0.68,1.45,56,26.059122,,,,,,42.79,-1.4
C3,SC1,6,520690,24-04-2022,297743,642533,66.91,0.65,1.65,148,67.5791,,,,,,112.365,2.75
C3,SC2,2,807949,25-08-2022,401795,642533,30.57,0.46,1.14,166,30.777876,,,,,,49.855,-0.3
C3,SC1,8,633435,13-07-2022,382960,554631,18.46,0.96,1.3,144,18.522764,,,,,,43.69,3.2
C4,SC1,5,609931,25-08-2022,858336,255774,71.56,0.53,1.17,218,72.017984,,,,,,117.34,2.35
C1,SC1,3,527553,14-03-2022,134567,495456,87.8,1.72,1.03,18,87.19418,,,,,,137.7,-5.6
C2,SC1,8,599266,07-05-2022,952816,642533,23,1.66,1.09,86,22.8689,,,,,,50.5,-0.3
C3,SC1,3,193704,30-06-2022,835032,373981,42.41,0.49,1.21,148,42.715352,,,,,,69.615,0.55
C2,SC2,2,115545,01-04-2022,391386,373981,21.93,0.22,1.14,,22.131756,,,,,,36.895,0.9
C2,SC3,3,150659,25-05-2022,429561,730238,17.12,0.27,1.45,127,17.322016,,,,,,31.68,1.65
C2,SC2,3,596478,22-03-2022,588227,672428,27.57,0.74,1.51,105,27.782289,,,,,,47.355,-0.7
C2,SC1,6,608465,26-08-2022,604632,642533,16.04,0.15,1.14,84,16.198796,,,,,,36.06,5.25
C1,SC3,5,982723,22-06-2022,413390,647438,56.81,1.77,2.11,56,57.003154,,,,,,95.215,-3.85
C3,SC3,5,813226,17-04-2022,513961,791247,28.63,0.15,1.06,178,28.890533,,,,,,52.945,4.25
C1,SC1,6,464692,23-04-2022,294378,495456,36.34,0.24,1.26,14,36.710668,48,19,,1,1065764,66.51,4.8
C3,SC1,2,615969,19-04-2022,659614,113357,31.69,0.27,1.05,139,31.937182,,,,,,51.535,0.65
C1,SC2,1,664410,16-06-2022,659394,642533,28.83,0.27,1.96,40,29.317227,,,,,,45.245,-0.35
C3,SC1,3,290447,09-06-2022,567795,709568,42.87,0.43,1.03,148,43.12722,,,,,,70.305,0.85
C1,SC2,6,425385,01-06-2022,668583,642533,41.64,0.28,2.06,41,42.381192,53,20,,3,779742,74.46,4.6
C5,SC2,2,905146,01-07-2022,254958,647438,37.69,0.83,1.55,290,37.961368,,,,,,60.535,-2.15
C2,SC1,7,396865,24-07-2022,907969,709568,37.71,0.99,1.36,73,37.849527,,,,,,70.565,2.05
C2,SC3,4,350617,20-05-2022,285393,435856,44.85,1.31,1.13,131,44.76927,,,,,,75.275,-2.55
C5,SC1,6,364222,26-05-2022,169118,672428,35.13,0.29,1.16,274,35.435631,,,,,,64.695,4.55
C2,SC1,6,188278,03-07-2022,783648,642533,60.68,1.76,1.69,84,60.637524,57,11,,2,523308,103.02,-2.8
C1,SC1,6,242750,09-03-2022,930293,791247,52.54,0.41,1.42,15,53.070654,,,,,,90.81,3.95
C1,SC1,9,872162,26-03-2022,990947,373981,29.49,0.36,1.62,11,29.861574,,,,,,62.235,7.2
C1,SC2,2,536604,10-05-2022,721319,255774,42.46,0.48,1.72,40,42.986504,49,8,,1,740446,67.69,-0.4
C1,SC1,6,520438,24-07-2022,550778,495456,57.62,0.49,1.32,24,58.098246,,,,,,98.43,3.55
C1,SC1,2,199851,30-05-2022,686534,554631,34.38,0.29,1.01,16,34.627536,,,,,,55.57,0.55
C1,SC1,1,612049,27-08-2022,671875,730238,35.72,0.66,1.18,19,35.905744,,,,,,55.58,-2.3
C2,SC2,4,644749,28-05-2022,351672,495456,40.65,0.09,1.28,104,41.133735,40,5,,1,801505,68.975,3.55
C3,SC2,6,626110,21-08-2022,889081,800480,25.31,0.43,1.22,170,25.509949,62,13,,1,598071,49.965,3.85
C3,SC1,1,221437,14-05-2022,607738,539784,42.01,0.61,1.73,149,42.480512,,,,,,65.015,-2.05
C2,SC3,3,970093,26-03-2022,639018,435856,23.3,1.55,1.42,124,23.26971,,,,,,40.95,-4.75
C3,SC1,3,282398,29-07-2022,871032,730238,33.62,0.19,1.35,152,34.009992,,,,,,56.43,2.05
C2,SC1,1,553229,12-06-2022,441146,593860,37.75,0.75,1.1,82,37.882125,,,,,,58.625,-2.75
C2,SC1,6,149693,27-06-2022,450110,554631,49.97,1.43,1.5,82,50.004979,,,,,,86.955,-1.15
C2,SC2,3,818322,13-05-2022,808017,255774,79.73,0.16,1.86,105,81.08541,,,,,,125.595,2.2
C4,SC2,3,880109,30-05-2022,185952,113357,56.13,0.18,1.89,223,57.089823,,,,,,90.195,2.1
C2,,1,250721,08-06-2022,135660,194273,15.91,1.21,1.08,111,15.889317,,,,,,25.865,-5.05
C1,SC2,7,993110,07-08-2022,319151,702163,34.69,0.7,1.22,44,34.870388,,,,,,66.035,3.5
C2,SC1,4,129575,23-06-2022,830659,709568,70.14,0.1,1.23,76,70.932582,,,,,,113.21,3.5
C1,SC3,9,237783,21-05-2022,657616,928785,33.27,0.47,1.52,55,33.619335,,,,,,67.905,6.65
C1,SC2,4,203514,15-08-2022,620157,495456,17.93,1.93,1.58,46,17.867245,,,,,,34.895,-5.65
C3,SC2,3,331644,19-07-2022,142566,702163,22.07,0.47,1.05,160,22.198006,,,,,,39.105,0.65
C2,SC3,3,903419,17-07-2022,903192,709568,43.86,0.43,1.21,121,44.202108,,,,,,71.79,0.85
C3,SC2,5,637077,08-03-2022,736261,672428,74.15,1.29,1.29,170,74.15,,,,,,121.225,-1.45
C2,SC2,4,181132,27-06-2022,525412,730238,45.98,0.62,1.37,104,46.32485,,,,,,76.97,0.9
C2,SC2,3,798019,09-04-2022,101269,672428,42.52,0.58,1.96,99,43.106776,,,,,,69.78,0.1
C3,SC3,4,826937,31-07-2022,985993,647438,51.01,0.18,1.03,181,51.443585,,,,,,84.515,3.1
C4,SC1,6,630173,05-05-2022,287617,194273,49.05,1.09,1.33,214,49.16772,,,,,,85.575,0.55
C4,SC2,4,588491,14-04-2022,456760,642533,18.14,0.74,1.8,231,18.332284,,,,,,35.21,0.3
C2,SC1,2,408655,17-08-2022,834246,791247,26.22,0.07,1.34,73,26.552994,65,28,,2,607721,43.33,1.65
C2,SC1,6,843828,28-08-2022,716530,928785,34.94,1.24,1.14,73,34.90506,,,,,,64.41,-0.2
C2,SC1,2,524925,05-08-2022,812111,702163,41.01,2.56,1.02,88,40.378446,60,17,,1,731958,65.515,-10.8
C1,SC3,6,552866,22-07-2022,807499,702163,40.06,0.96,1.66,68,40.34042,,,,,,72.09,1.2
C1,SC1,5,711715,22-03-2022,691047,791247,57.72,0.91,1.35,26,57.973968,,,,,,96.58,0.45
C1,SC3,2,836688,05-03-2022,188281,647438,60.3,1.1,1.57,56,60.58341,,,,,,94.45,-3.5
C2,SC1,4,114457,23-06-2022,264324,642533,56.05,0.8,1.47,87,56.425535,,,,,,92.075,0
C4,SC1,4,894037,23-07-2022,312934,709568,59.95,1.01,1.83,214,60.44159,48,28,,2,1206665,97.925,-1.05
C1,SC1,5,118420,21-05-2022,881724,194273,24.18,0.28,1.11,18,24.380694,,,,,,46.27,3.6
C2,SC2,5,724386,18-06-2022,847080,642533,26.64,0.61,1.12,111,26.775864,,,,,,49.96,1.95
C4,SC1,3,210449,23-05-2022,668583,709568,53.29,0.15,1.14,216,53.817571,53,20,,3,779742,85.935,2.25
C1,SC1,5,279415,14-07-2022,260218,672428,16.1,1.91,1.89,18,16.09678,,,,,,34.15,-4.55
C2,SC1,2,493063,03-04-2022,592081,928785,36.36,0.05,1.48,84,36.879948,,,,,,58.54,1.75
C1,SC2,2,279572,13-07-2022,334539,194273,34.06,0.49,1.05,40,34.250736,,,,,,55.09,-0.45
C2,SC1,3,737364,07-06-2022,806132,220597,37.27,0,1.04,89,37.657608,,,,,,61.905,3
C4,SC2,8,963088,21-04-2022,346715,539784,19.17,0.59,1.57,227,19.357866,50,11,,2,585624,44.755,5.05
C1,SC2,1,402876,16-04-2022,895680,113357,46.47,0.09,1.09,40,46.9347,45,17,,1,742995,71.705,0.55
C3,SC1,3,770480,20-04-2022,627849,539784,25.91,0.88,1.28,146,26.01364,,,,,,44.865,-1.4
C3,SC3,1,707974,04-06-2022,849773,373981,80.65,1.73,1.32,192,80.319335,,,,,,122.975,-7.65
C2,SC2,4,564598,10-05-2022,259658,642533,47.53,0.72,1.58,110,47.938758,,,,,,79.295,0.4
C1,SC1,7,810398,02-04-2022,360347,569028,18.61,0.97,1.71,19,18.747714,,,,,,41.915,2.15
C2,SC3,5,633769,15-04-2022,184254,730238,29.66,0.08,1.37,129,30.042614,,,,,,54.49,4.6
C2,SC2,5,383292,14-04-2022,552050,593860,29.59,0.97,1.1,,29.628467,,,,,,54.385,0.15
C4,SC3,3,923620,12-06-2022,624282,672428,16.15,0.21,1.31,243,16.32765,,,,,,30.225,1.95
C1,SC1,1,497080,08-06-2022,166670,113357,23.15,1.41,1.13,12,23.08518,,,,,,36.725,-6.05
C1,SC2,2,311148,09-07-2022,692569,373981,18.96,1.12,1.36,40,19.005504,,,,,,32.44,-3.6
C1,SC1,9,498927,02-07-2022,814364,800480,38.83,0.09,1.14,10,39.237715,,,,,,76.245,8.55
C2,SC1,2,171152,07-07-2022,990947,672428,49.74,1.33,1.02,73,49.585806,,,,,,78.61,-4.65
C3,SC2,3,239718,01-05-2022,980670,569028,36.12,1.77,1.45,165,36.004416,,,,,,60.18,-5.85
C1,SC1,8,880458,02-05-2022,877216,539784,37.88,0.12,1.44,10,38.380016,,,,,,72.82,7.4
C3,SC1,6,829914,15-03-2022,328433,373981,28.04,0.42,1.13,146,28.239084,,,,,,54.06,3.9
C2,SC1,2,485407,28-05-2022,745304,672428,48.26,1.22,1.08,73,48.192436,49,20,,1,981546,76.39,-4.1
C1,SC3,4,588618,02-04-2022,437869,709568,62.57,1.1,1.41,57,62.763967,,,,,,101.855,-1.5
C1,SC1,1,516240,27-05-2022,773227,928785,24.6,0,1.07,22,24.86322,,,,,,38.9,1
C1,SC1,3,599460,05-04-2022,741176,928785,24.55,1.47,1.45,25,24.54509,,,,,,42.825,-4.35
C1,SC1,2,799616,05-03-2022,842733,569028,21.35,1.44,1.03,26,21.262465,,,,,,36.025,-5.2
C1,SC3,2,139290,08-07-2022,744386,709568,53.49,1.01,1.05,63,53.511396,,,,,,84.235,-3.05
C3,SC1,4,983185,19-07-2022,918693,113357,15.35,0.45,1.24,148,15.471265,,,,,,31.025,1.75
C4,SC1,5,171380,03-06-2022,287617,220597,20.31,0.85,1.33,209,20.407488,,,,,,40.465,0.75
C2,SC1,7,884901,13-07-2022,595963,709568,58.58,0.5,1.06,73,58.908048,46,2,,1,558937,101.87,4.5
C4,SC2,7,462312,05-07-2022,679204,220597,51.36,0.85,1.39,222,51.637344,,,,,,91.04,2.75
C2,SC1,6,749593,18-05-2022,191586,554631,24.4,0.28,1.11,82,24.60252,,,,,,48.6,4.6
C2,SC2,6,575680,25-03-2022,467553,928785,35.47,1.18,1.09,103,35.438077,63,19,,1,632481,65.205,0.1
C4,SC1,4,740548,05-06-2022,686756,539784,47.21,0.83,1.1,203,47.337467,,,,,,78.815,-0.15
C3,SC3,1,307309,28-06-2022,184254,220597,39.15,1.07,1.26,178,39.224385,,,,,,60.725,-4.35
C2,SC1,5,504040,02-05-2022,809944,539784,79.08,0.57,1.62,84,79.91034,57,13,,1,532166,128.62,2.15
C2,SC1,8,264214,16-04-2022,173274,709568,21.17,0.33,1.46,77,21.409221,,,,,,47.755,6.35
C2,SC1,1,525243,08-05-2022,759926,569028,58.21,0.16,1.63,88,59.065687,,,,,,89.315,0.2
C1,SC1,3,386298,07-06-2022,298229,569028,46.19,0.51,1.03,16,46.430188,,,,,,75.285,0.45
C1,SC1,1,344591,18-04-2022,886114,647438,17.9,0.89,1.22,18,17.95907,,,,,,28.85,-3.45
C3,SC1,5,388589,12-07-2022,857419,672428,17.07,0.96,1.29,147,17.126331,,,,,,35.605,0.2
C4,SC2,5,968381,16-08-2022,302542,593860,16.04,1.39,1.17,223,16.004712,57,7,,1,836511,34.06,-1.95
C1,SC2,1,778217,12-05-2022,308081,194273,36.2,0.85,1.59,50,36.46788,,,,,,56.3,-3.25
C5,SC1,4,386741,11-03-2022,173274,647438,31.67,0.41,1.11,262,31.89169,,,,,,55.505,1.95
C5,SC1,3,969903,13-06-2022,199599,113357,20.34,0.32,1.73,281,20.626794,,,,,,36.51,1.4
C3,SC1,2,873059,06-03-2022,413390,593860,58.48,0.58,1.35,144,58.930296,,,,,,91.72,-0.9
C1,SC2,2,386358,10-06-2022,134567,113357,78.38,2.53,1.47,45,77.549172,,,,,,121.57,-10.65
C2,SC2,4,397612,16-08-2022,182988,220597,39.08,0.62,1.54,110,39.439536,,,,,,66.62,0.9
C4,SC1,2,680346,12-04-2022,912988,435856,43.68,0.67,1.23,218,43.924608,,,,,,69.52,-1.35
C4,SC2,2,887438,01-06-2022,246675,373981,35.38,0.12,1.05,231,35.709034,,,,,,57.07,1.4
C4,SC2,5,960289,12-04-2022,488223,702163,28.1,1.17,1.3,235,28.13653,52,10,,2,958164,52.15,-0.85
C2,SC2,5,374292,14-08-2022,389671,373981,28.95,1.94,1.43,95,28.802355,36,8,,2,501335,53.425,-4.7
,SC1,3,595252,27-07-2022,346287,113357,34.23,0.95,2.05,209,34.60653,,,,,,57.345,-1.75
C2,SC1,2,144775,16-05-2022,485448,647438,45.47,0.71,1.49,86,45.824666,39,10,,1,1308337,72.205,-1.55
C2,SC2,6,714279,22-07-2022,998666,800480,16.14,0.38,1.27,110,16.283646,,,,,,36.21,4.1
C3,SC1,2,574317,12-06-2022,321097,800480,54.85,0.7,1.52,148,55.29977,,,,,,86.275,-1.5
C4,SC1,6,157905,03-03-2022,494467,373981,28.92,0.19,1.85,218,29.400072,,,,,,55.38,5.05
C2,SC2,1,643549,26-06-2022,570181,791247,15.09,0.53,1.68,110,15.263535,,,,,,24.635,-1.65
C1,SC1,3,120104,24-07-2022,328433,928785,27.86,0.68,1.13,16,27.98537,,,,,,47.79,-0.4
C4,SC3,5,552407,19-06-2022,390629,255774,60.36,0.72,1.4,256,60.770448,,,,,,100.54,1.4
C4,SC1,10,316772,21-03-2022,370588,709568,39.77,0.99,1.71,203,40.056344,24,22,,2,833500,79.655,5.05
C3,SC1,3,877137,24-05-2022,774526,435856,15.87,0.35,1.38,139,16.033461,,,,,,29.805,1.25
C3,SC3,2,968259,20-03-2022,592081,554631,29.22,0.46,1.64,189,29.564796,,,,,,47.83,-0.3
C2,SC1,1,302432,22-06-2022,889081,569028,38.53,0.46,1.33,73,38.865211,62,13,,1,598071,59.795,-1.3
C1,SC1,1,424464,04-04-2022,734235,702163,16.1,1.05,1.48,11,16.16923,,,,,,26.15,-4.25
C1,SC1,8,658829,29-07-2022,814364,702163,110.63,0.75,1.02,10,110.928701,,,,,,181.945,4.25
C3,SC3,4,376964,03-05-2022,627849,928785,20.65,0.54,1.13,189,20.771835,,,,,,38.975,1.3
C2,SC2,7,983607,30-04-2022,921101,220597,27.86,0.96,1.44,,27.993728,,,,,,55.79,2.2
C1,SC1,8,283317,28-05-2022,375184,255774,47.49,1.76,1.16,26,47.20506,,,,,,87.235,-0.8
C2,SC3,2,504325,01-08-2022,321097,702163,36.92,1.62,1.22,130,36.77232,,,,,,59.38,-6.1
C3,SC1,3,545416,09-07-2022,699051,113357,79.9,0.58,1.7,148,80.79488,,,,,,125.85,0.1
C1,SC1,1,144058,22-06-2022,702506,672428,36.74,0.56,1.4,12,37.048616,44,13,,3,573486,57.11,-1.8
C2,SC2,3,959517,27-06-2022,401795,800480,30.45,0.17,1.05,97,30.71796,,,,,,51.675,2.15
C2,SC2,5,885220,04-04-2022,675689,928785,18.76,0.29,1.14,95,18.91946,,,,,,38.14,3.55
C1,SC2,2,124486,27-07-2022,255137,435856,36.52,1.11,1.31,31,36.59304,,,,,,58.78,-3.55
C4,SC3,3,236734,02-05-2022,119580,255774,24.01,1.18,1.55,250,24.098837,44,20,,1,919191,42.015,-2.9
C1,SC1,2,890024,22-03-2022,235484,113357,18.48,0.09,1.16,12,18.677736,33,4,,1,743707,31.72,1.55
C1,SC2,4,272745,08-04-2022,691274,373981,50.93,1.2,1.03,37,50.843419,53,19,,2,896198,84.395,-2
C2,SC1,1,786000,17-08-2022,506186,569028,22.18,0.41,1.4,87,22.399582,,,,,,35.27,-1.05
C1,SC3,2,361547,24-05-2022,695840,672428,32.9,2.53,1.45,68,32.54468,,,,,,53.35,-10.65
C2,SC2,1,279498,10-04-2022,713502,702163,21.63,0.38,1.62,105,21.898212,,,,,,34.445,-0.9
C2,SC2,5,855247,13-07-2022,607942,255774,47.34,0.33,1.01,104,47.661912,,,,,,81.01,3.35
C4,SC1,1,249359,19-03-2022,493187,672428,24.02,1.54,1.25,216,23.950342,,,,,,38.03,-6.7
C2,SC2,6,952367,04-04-2022,477061,554631,26.97,0.6,1.83,97,27.301731,,,,,,52.455,3
C2,SC1,2,794024,26-05-2022,274433,800480,56.62,,1.4,81,56.948396,,,,,,88.93,-2.1
C3,SC3,2,718697,29-07-2022,779795,672428,25.2,0.16,1.66,181,25.578,,,,,,41.8,1.2
C1,SC2,9,648534,30-03-2022,890081,373981,48.58,0.47,1.79,44,49.221256,,,,,,90.87,6.65
C3,SC1,3,741748,01-03-2022,229912,220597,24.93,0.06,1.45,149,25.276527,41,18,,1,895102,43.395,2.7
C2,SC2,1,410474,07-08-2022,124424,194273,22.04,0.55,1.15,103,22.17224,49,29,,2,929483,35.06,-1.75
C1,SC1,2,446468,16-06-2022,413390,554631,26.56,0.77,1.11,11,26.650304,,,,,,43.84,-1.85
C2,SC2,2,937855,11-03-2022,492953,702163,31.83,0.95,1.06,110,31.865013,,,,,,51.745,-2.75
C4,SC1,1,385638,17-04-2022,190869,647438,29.36,0.21,1.13,209,29.630112,,,,,,46.04,-0.05
C1,SC1,7,810271,18-07-2022,568668,791247,30.13,0.75,1.59,24,30.383092,,,,,,59.195,3.25
C2,SC2,2,775976,17-05-2022,771963,113357,17.76,0.22,1.19,103,17.932272,,,,,,30.64,0.9
C2,SC1,3,144294,23-08-2022,264324,928785,18.19,0.68,2.45,76,18.511963,,,,,,33.285,-0.4
C1,SC3,2,467872,29-03-2022,736261,593860,49.5,0.99,1.23,61,49.6188,,,,,,78.25,-2.95
C5,SC1,5,490060,27-07-2022,234695,647438,41.45,0.76,1.23,267,41.644815,,,,,,72.175,1.2
C3,SC2,4,433917,18-08-2022,513961,194273,15.71,1.26,1.14,164,15.691148,,,,,,31.565,-2.3
C1,SC1,7,589096,21-04-2022,192918,647438,79.55,0.3,2.16,26,81.02963,50,17,,1,649839,133.325,5.5
C1,SC2,3,373536,13-08-2022,286644,800480,33.19,0.72,1.38,45,33.409054,,,,,,55.785,-0.6
C3,SC1,3,689510,29-07-2022,786303,791247,20.84,0.64,2.1,,21.144264,,,,,,37.26,-0.2
C4,SC2,4,438759,10-04-2022,360347,569028,47.46,0.93,1.87,231,47.906124,,,,,,79.19,-0.65
C2,SC2,2,567972,04-05-2022,353364,730238,42.32,0.58,1.91,104,42.882856,,,,,,67.48,-0.9
C3,SC2,2,568737,10-04-2022,843124,194273,72.25,0.8,1.1,170,72.46675,,,,,,112.375,-2
C4,SC1,1,520439,13-07-2022,459104,194273,15.86,0.1,1.76,207,16.123276,,,,,,25.79,0.5
C2,SC1,4,815728,10-07-2022,730086,435856,25.87,0.23,1.02,86,26.074373,,,,,,46.805,2.85
C3,SC1,2,236007,20-08-2022,467553,554631,93.56,0.13,1.51,150,94.851128,63,19,,1,632481,144.34,1.35
C2,SC1,4,381908,14-07-2022,182988,593860,18.59,1.44,1.02,,18.511922,,,,,,35.885,-3.2
C5,SC2,9,234641,11-06-2022,305990,194273,50.14,1.76,1.76,299,50.14,,,,,,93.21,0.2
C2,SC2,3,687053,18-07-2022,966353,539784,56.18,1.7,1.18,99,55.887864,,,,,,90.27,-5.5
C4,SC1,4,947892,19-08-2022,190178,435856,29.54,0.81,1.42,218,29.720194,,,,,,52.31,-0.05
C2,SC1,2,373246,09-04-2022,163837,791247,57.96,0.93,1.15,73,58.087512,,,,,,90.94,-2.65
C4,SC1,5,967288,08-03-2022,475864,791247,17.88,0.25,1.19,209,18.048072,56,17,,2,575688,36.82,3.75
C1,SC2,2,493827,11-07-2022,194956,709568,42.21,0.79,1.25,50,42.404166,,,,,,67.315,-1.95
C2,SC3,2,647621,19-03-2022,228472,495456,36.45,0.04,1.14,130,36.85095,,,,,,58.675,1.8
C3,SC2,1,111330,15-04-2022,167159,554631,66.66,1.4,1.25,164,66.56001,,,,,,101.99,-6
C5,SC1,4,530540,13-03-2022,849290,539784,15.3,0.42,,264,,,,,,,30.95,1.9
C2,SC2,3,115885,19-03-2022,711463,539784,65.52,0.29,1.01,,65.991744,,,,,,104.28,1.55
C3,SC2,6,658320,26-03-2022,385355,730238,41.76,0.29,2.39,173,42.63696,43,19,,1,715703,74.64,4.55
C3,SC1,4,404999,28-05-2022,157601,593860,27.16,0.61,1.56,152,27.41802,,,,,,48.74,0.95
C1,SC1,5,135802,28-07-2022,316132,730238,22.89,0.67,1.42,10,23.061675,,,,,,44.335,1.65
